Building_Use_Type,Building_Use_Subtype,Continent,Building_Project_Type,Gross_Floor_Area_m2,Floors_Above_Ground,Total_Embodied_Carbon_PER_m2
0,12,4,0,1626.5,3.5,129.98
1,9,4,0,3484.5,3.5,124.0
1,9,4,0,3484.5,3.5,122.0
1,9,4,0,279.5,3.5,119.0
1,9,4,0,279.5,3.5,119.0
1,9,4,0,279.5,3.5,115.24
1,9,4,0,279.5,3.5,114.0
1,9,4,0,3484.5,3.5,110.0
1,9,4,0,3484.5,3.5,109.0
1,9,4,0,279.5,3.5,106.0
1,9,4,0,279.5,3.5,89.11
1,9,4,0,3484.5,3.5,87.4
1,9,4,0,3484.5,3.5,84.0
1,9,4,0,3484.5,3.5,82.0
1,9,4,0,3484.5,3.5,80.0
0,8,1,0,3484.5,10.5,70.0
